1	1	81	0.039885	0.289696	0.402062	0.472222	5.61	0.001787	2.307159	25.69763	0	20.2187	206.4803	333.6209	182.333	272.4492	215.7335	229.12	409.37	236.24	231.47	0.099918	0.087697
2	1	82	0.038345	0.338111	0.433005	0.506993	5.59	0.001767	2.330254	24.87425	0	20.2187	212.7542	369.2964	189.5414	300.8788	231.5767	240.33	419.7	253.88	236.79	0.103049	0.086377
3	1	83	0.030305	0.330449	0.525703	0.479705	5.8	0.001836	2.341801	26.45144	0	20.2187	219.7802	1394.803	196.6395	309.9696	240.1568	269.7	438.85	250.36	248.58	0.080679	0.085091
4	1	84	0.034726	0.362525	0.604706	0.520104	6.89	0.001886	2.34642	26.84235	0	20.2187	223.4238	398.8604	200.5629	350.0863	252.4477	281.74	459.17	261.93	264.38	0.078504	0.083833
5	1	85	0.036573	0.325395	0.578723	0.497059	6.55	0.001924	2.364896	28.14034	0	20.2187	243.7562	358.783	206.8827	383.0707	261.0861	298.88	490.43	281.44	288.58	0.093249	0.082307
6	1	86	0.034752	0.326062	0.512324	0.439863	6.9	0.001895	2.385681	29.74098	0	20.2187	257.9139	369.5465	218.5165	409.8842	269.6129	322.65	478.67	286.91	306.7	0.097323	0.080081
7	1	87	0.035604	0.29827	0.527596	0.43617	6.71	0.001828	2.422633	30.99368	0	20.2187	281.4259	408.7245	221.2701	453.1722	274.1775	334.54	477.58	292.09	311.91	0.080169	0.077871
8	3	81	0.016392	0.202899	0.869048	0.465753	8.45	5.94E-04	0.976834	14.56088	0	7.91632	188.7683	292.6422	151.4234	202.4292	191.3742	210.75	381.72	247.38	213.17	0.056122	0.087005
9	3	82	0.019065	0.162218	0.772152	0.377049	5.71	7.05E-04	0.992278	35.64073	0	7.91632	186.9658	345.7217	156.8826	225.0409	208.819	217.77	386.42	374.07	219.18	0.047312	0.086472
10	3	83	0.015149	0.181586	1.02817	0.438356	8.69	6.59E-04	1.003861	19.26188	0	7.91632	193.5983	604.9115	157.1295	248.139	219.0847	236.64	382.65	268.9	223.06	0.059621	0.085943
11	3	84	0.013662	0.194986	0.885714	0.5	8.01	6.09E-04	1.015444	21.39557	0	7.91632	219.0847	340.6593	162.2665	263.6476	228.5922	255.22	376.53	288.05	242.05	0.058997	0.085499
12	3	85	0.012035	0.206897	0.909091	0.366667	8.59	6.41E-04	1.030888	24.03637	0	7.91632	2324.598	338.7238	173.1681	250.1563	257.655	262.06	411.23	312.8	262.84	0.085034	0.084861
13	3	86	0.012998	0.156069	1.03704	0.392857	6.03	6.76E-04	1.034749	26.59959	0	7.91632	241.5459	336.8101	181.6732	260.7562	228.1617	279.38	420.77	334.72	279.25	0.051672	0.083637
14	3	87	0.015253	0.132029	1.48148	0.45	6.35	7.46E-04	1.046332	26.89208	0	7.91632	255.102	376.2542	196.0101	258.565	192.3077	300.38	409.83	362.96	301.47	0.030227	0.082607
15	5	81	0.009337	0.406593	0.27027	0.5	5.53	8.21E-04	0.412766	18.6306	0	3.16053	147.929	284.9003	143.5132	200.3205	158.2278	157.24	318.96	233.33	191.98	0.083333	0.073853
16	5	82	0.012323	0.38	0.736842	0.392857	9.7	0.001356	0.417021	19.52253	0	3.16053	147.929	343.4066	160.7526	213.6752	166.7064	164.62	314.61	247.59	188.48	0.020408	0.073795
17	5	83	0.012806	0.561905	0.559322	0.272727	6.34	0.001342	0.417021	19.24335	0	3.16053	169.6833	2109.181	165.9508	196.2323	174.8252	178.17	330.5	250.17	202.07	0.3125	0.073874
18	5	84	0.01383	0.666667	0.447368	0.411765	5.72	0.001335	0.417021	24.15392	0	3.16053	183.9465	328.3302	167.2241	209.0301	180.9955	192.17	340.43	259.49	210.56	0.163265	0.073863
19	5	85	0.012475	0.60396	0.180328	0.545455	10.04	0.001482	0.412766	27.50368	0	3.16053	204.918	254.5249	200.157	218.5315	190.6257	192.6	373.06	277.24	242.61	0.278481	0.073643
